trial,trial_idx,interval_ms_est,start_ms,end_ms,duration_ms,rx_raw,rx_unique,pdr_raw,pdr_unique,interval_bucket_ms,interval_bucket_ms
trial_100_on.csv,100,992.54,23232634.0,23530395.0,297761.0,1350,299,4.5,0.9967,1000,1000
trial_101_on.csv,101,992.34,23530395.0,23828098.0,297703.0,1363,298,4.5433,0.9933,1000,1000
trial_102_on.csv,102,992.16,23828098.0,24125745.0,297647.0,1369,299,4.5633,0.9967,1000,1000
trial_103_on.csv,103,991.97,24125745.0,24423336.0,297591.0,1349,298,4.4967,0.9933,1000,1000
trial_104_on.csv,104,991.78,24423336.0,24720869.0,297533.0,1354,298,4.5133,0.9933,1000,1000
trial_105_on.csv,105,991.58,24720869.0,25018343.0,297474.0,1324,299,4.4133,0.9967,1000,1000
trial_106_on.csv,106,991.38,25018343.0,25315756.0,297413.0,1330,298,4.4333,0.9933,1000,1000
trial_107_on.csv,107,991.18,25315756.0,25613111.0,297355.0,1338,299,4.46,0.9967,1000,1000
trial_108_on.csv,108,990.98,25613111.0,25910406.0,297295.0,1356,298,4.52,0.9933,1000,1000
trial_110_on.csv,110,1980.61,26354654.0,26948838.0,594184.0,2688,298,8.96,0.9933,2000,2000
trial_111_on.csv,111,1980.4,26948838.0,27542958.0,594120.0,2705,298,9.0167,0.9933,2000,2000
trial_112_on.csv,112,1980.19,27542958.0,28137016.0,594058.0,2667,298,8.89,0.9933,2000,2000
trial_113_on.csv,113,1986.64,28137016.0,28733009.0,595993.0,2631,299,8.77,0.9967,2000,2000
trial_114_on.csv,114,1986.41,28733009.0,29328933.0,595924.0,2633,299,8.7767,0.9967,2000,2000
trial_115_on.csv,115,1986.18,29328933.0,29924787.0,595854.0,2702,299,9.0067,0.9967,2000,2000
trial_116_on.csv,116,1985.97,29924787.0,30520578.0,595791.0,2671,299,8.9033,0.9967,2000,2000
trial_117_on.csv,117,1985.75,30520578.0,31116303.0,595725.0,2698,299,8.9933,0.9967,2000,2000
trial_118_on.csv,118,1985.58,31116303.0,31711976.0,595673.0,2709,300,9.03,1.0,2000,2000
trial_119_on.csv,119,946.68,31711976.0,31995980.0,284004.0,1321,143,4.4033,0.4767,1000,1000
trial_120_on.csv,120,99.13,31995980.0,32025718.0,29738.0,146,16,0.4867,0.0533,100,100
trial_121_on.csv,121,99.25,32025718.0,32055492.0,29774.0,138,15,0.46,0.05,100,100
trial_122_on.csv,122,99.35,32055492.0,32085298.0,29806.0,136,15,0.4533,0.05,100,100
trial_123_on.csv,123,99.13,32085298.0,32115038.0,29740.0,143,15,0.4767,0.05,100,100
trial_124_on.csv,124,99.24,32115038.0,32144810.0,29772.0,143,16,0.4767,0.0533,100,100
trial_125_on.csv,125,99.02,32144810.0,32174515.0,29705.0,138,16,0.46,0.0533,100,100
trial_126_on.csv,126,99.11,32174515.0,32204249.0,29734.0,137,16,0.4567,0.0533,100,100
trial_127_on.csv,127,99.22,32204249.0,32234016.0,29767.0,136,16,0.4533,0.0533,100,100
trial_128_on.csv,128,482.0,32234016.0,32378616.0,144600.0,662,249,2.2067,0.83,500,500
trial_129_on.csv,129,496.43,32378616.0,32527546.0,148930.0,689,291,2.2967,0.97,500,500
trial_130_on.csv,130,496.2,32527546.0,32676406.0,148860.0,691,276,2.3033,0.92,500,500
trial_131_on.csv,131,495.93,32676406.0,32825186.0,148780.0,692,298,2.3067,0.9933,500,500
trial_132_on.csv,132,495.71,32825186.0,32973900.0,148714.0,694,296,2.3133,0.9867,500,500
trial_133_on.csv,133,495.47,32973900.0,33122541.0,148641.0,695,296,2.3167,0.9867,500,500
trial_134_on.csv,134,495.24,33122541.0,33271112.0,148571.0,705,297,2.35,0.99,500,500
trial_135_on.csv,135,495.06,33271112.0,33419631.0,148519.0,681,298,2.27,0.9933,500,500
trial_136_on.csv,136,496.48,33419631.0,33568574.0,148943.0,701,298,2.3367,0.9933,500,500
trial_137_on.csv,137,629.56,33568574.0,33757443.0,188869.0,854,299,2.8467,0.9967,500,500
trial_138_on.csv,138,990.98,33757443.0,34054737.0,297294.0,1352,299,4.5067,0.9967,1000,1000
trial_139_on.csv,139,990.73,34054737.0,34351955.0,297218.0,1354,300,4.5133,1.0,1000,1000
trial_140_on.csv,140,990.46,34351955.0,34649092.0,297137.0,1362,298,4.54,0.9933,1000,1000
trial_141_on.csv,141,990.21,34649092.0,34946154.0,297062.0,1352,298,4.5067,0.9933,1000,1000
trial_142_on.csv,142,993.26,34946154.0,35244132.0,297978.0,1364,299,4.5467,0.9967,1000,1000
trial_143_on.csv,143,993.01,35244132.0,35542035.0,297903.0,1368,299,4.56,0.9967,1000,1000
trial_144_on.csv,144,992.74,35542035.0,35839858.0,297823.0,1353,299,4.51,0.9967,1000,1000
trial_145_on.csv,145,992.57,35839858.0,36137628.0,297770.0,1341,299,4.47,0.9967,1000,1000
trial_146_on.csv,146,992.31,36137628.0,36435320.0,297692.0,1358,298,4.5267,0.9933,1000,1000
trial_148_on.csv,148,1985.07,36868924.0,37464446.0,595522.0,2708,299,9.0267,0.9967,2000,2000
trial_149_on.csv,149,1984.8,37464446.0,38059885.0,595439.0,2737,299,9.1233,0.9967,2000,2000
trial_150_on.csv,150,1984.51,38059885.0,38655237.0,595352.0,2723,298,9.0767,0.9933,2000,2000
trial_151_on.csv,151,1984.32,38655237.0,39250532.0,595295.0,2729,299,9.0967,0.9967,2000,2000
trial_152_on.csv,152,1984.04,39250532.0,39845744.0,595212.0,2723,299,9.0767,0.9967,2000,2000
